id,gender,citizenship,region,province,city_municipality,employment_and_or_business_information,additional_household_member_source_of_income,do_you_have_a_co_borrower,my_spouse_is_my_co_borrower,business_gross_sales,total_cash_inflow,total_cash_outflow,net_income,years_in_residence,home_ownership,business_tenure,ownership_of_business_premises,number_of_paid_employees,business_nature,marital_status,no_of_children,with_children_attending_school,outstanding_obligation_other_loans,do_you_have_deposit_or_credit_cards_with_other_bank
10964,Female,Filipino,Region VI – Western Visayas,Negros Occidental,Silay,Business Owner,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0,75000.0,9500,65500.0,More than 2 years,Owned,More than 3 years,Owned,Without paid helpers or relatives only,Food and Hospitality,Single,2-3,No,200,No
10966,Male,Filipino,Region VI – Western Visayas,Negros Occidental,Enrique B. Magalona,Business Owner,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0,0.0,42000,-42000.0,More than 2 years,Owned,More than 3 years,Rented,With paid helpers or employees,Construction,Married,more than 3,Yes,0,Yes
10969,Female,Filipino,Region VI – Western Visayas,Iloilo,Dingle,Business Owner,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0,46000.0,16200,29800.0,More than 2 years,Owned,More than 3 years,Owned,Without paid helpers or relatives only,Food and Hospitality,Single,2-3,No,0,No
10983,Female,Filipino,Region VI – Western Visayas,Negros Occidental,Silay,Business Owner,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0,115000.0,7500,107500.0,More than 2 years,Owned,More than 3 years,Owned,Without paid helpers or relatives only,Agriculture,Married,0-1,No,1000,No
10984,Female,Filipino,Region VI – Western Visayas,Negros Occidental,Talisay,Business Owner,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0,116000.0,14000,102000.0,More than 2 years,Owned,More than 3 years,Owned,Without paid helpers or relatives only,Others,Married,more than 3,No,0,No
10991,Female,Filipino,Region VI – Western Visayas,Negros Occidental,Silay,Business Owner,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0,200000.0,15500,184500.0,More than 2 years,Owned,More than 3 years,Owned,With paid helpers or employees,Food and Hospitality,Married,2-3,Yes,0,Yes
11025,Male,Filipino,Region VI – Western Visayas,Negros Occidental,Silay,Business Owner,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0,20000.0,8500,11500.0,More than 2 years,Owned,More than 3 years,Owned,Without paid helpers or relatives only,Others,Married,0-1,Yes,0,No
11124,Female,Filipino,Region XI – Davao Region,Davao del Sur,Davao City,Business Owner,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0,370000.0,11000,359000.0,More than 2 years,Owned,More than 3 years,Rented,With paid helpers or employees,Food and Hospitality,Single,0-1,No,0,Yes
11126,Male,Filipino,Region XI – Davao Region,Davao del Sur,Davao City,Business Owner,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0,200000.0,57000,143000.0,1-2 years,Owned,2-3 years,Rented,With paid helpers or employees,Education ,Single,2-3,Yes,0,No
11130,Female,Filipino,Region VI – Western Visayas,Negros Occidental,Bacolod City,Business Owner,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0,71000.0,23500,47500.0,1-2 years,Rented,6-23 months,Rent-Free,With paid helpers or employees,Others,Separated,2-3,Yes,0,Yes
11132,Female,Filipino,Region VI – Western Visayas,Negros Occidental,Bacolod City,Business Owner,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0,80000.0,22500,57500.0,More than 2 years,Owned,2-3 years,Rented,With paid helpers or employees,Others,Married,2-3,Yes,0,Yes
11155,Female,Filipino,Region VI – Western Visayas,Negros Occidental,Silay,Business Owner,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0,30000.0,9500,20500.0,More than 2 years,Free,6-23 months,Owned,Without paid helpers or relatives only,Food and Hospitality,Married,2-3,Yes,0,No
11189,Female,Filipino,Region VI – Western Visayas,Negros Occidental,Victorias,Business Owner,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0,55000.0,10000,45000.0,More than 2 years,Owned,More than 3 years,Owned,Without paid helpers or relatives only,Others,Married,2-3,Yes,0,Yes
11223,Female,Filipino,Region VI – Western Visayas,Negros Occidental,Bacolod City,Business Owner,No other source of income,Yes,No,0,175000.0,30000,145000.0,More than 2 years,Owned,More than 3 years,Owned,Without paid helpers or relatives only,Others,Single,0-1,Yes,0,No
11225,Male,Filipino,Region VI – Western Visayas,Negros Occidental,Pontevedra,Business Owner,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0,245000.0,8500,236500.0,More than 2 years,Owned,More than 3 years,Owned,Without paid helpers or relatives only,Agriculture,Married,2-3,No,0,Yes
11237,Female,Filipino,NCR – National Capital Region,Metro Manila,Makati,Business Owner,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0,119000.0,12500,106500.0,More than 2 years,Rented,More than 3 years,Rented,With paid helpers or employees,Food and Hospitality,Married,0-1,No,0,Yes
11240,Female,Filipino,Region VI – Western Visayas,Negros Occidental,Silay,Business Owner,No other source of income,"No, please prepare postdated checks for your monthly amortization",,0,2075000.0,240981,1834019.0,More than 2 years,Owned,2-3 years,Rented,With paid helpers or employees,Others,Single,0-1,No,150000,Yes
11255,Female,Filipino,NCR – National Capital Region,Metro Manila,Makati,Business Owner,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0,80000.0,10000,70000.0,More than 2 years,Rented,More than 3 years,Rented,With paid helpers or employees,Food and Hospitality,Married,0-1,No,0,Yes
11259,Male,Filipino,NCR – National Capital Region,Metro Manila,Manila,Business Owner,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0,418000.0,32500,385500.0,More than 2 years,Owned,More than 3 years,Owned,Without paid helpers or relatives only,Others,Single,2-3,Yes,0,Yes
11265,Female,Filipino,NCR – National Capital Region,Metro Manila,Caloocan,Business Owner,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0,58000.0,8200,49800.0,More than 2 years,Owned,2-3 years,Mortgaged,Without paid helpers or relatives only,Business and Information ,Married,0-1,No,0,No
11320,Female,Filipino,Region IV‑A – CALABARZON,Rizal,Cainta,Business Owner,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0,56000.0,9700,46300.0,More than 2 years,Free,6-23 months,Owned,Without paid helpers or relatives only,Food and Hospitality,Married,2-3,Yes,0,No
11419,Male,Filipino,Region III – Central Luzon,Nueva Ecija,Gabaldon,Business Owner,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0,65000.0,10500,54500.0,More than 2 years,Owned,More than 3 years,Owned,Without paid helpers or relatives only,Others,Married,2-3,Yes,0,No
11452,Female,Filipino,Region IV‑A – CALABARZON,Cavite,Dasmariñas,Business Owner,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0,42000.0,8500,33500.0,More than 2 years,Owned,More than 3 years,Owned,Without paid helpers or relatives only,Others,Married,2-3,Yes,0,Yes
11454,,Filipino,Region IV‑A – CALABARZON,Cavite,Bacoor,Business Owner,No other source of income,Yes,No,0,115000.0,66000,49000.0,More than 2 years,Rented,More than 3 years,Rented,Without paid helpers or relatives only,Others,Single,0-1,No,0,No
11499,Female,Filipino,Region IV‑A – CALABARZON,Cavite,Dasmariñas,Business Owner,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0,42000.0,9500,32500.0,More than 2 years,Owned,More than 3 years,Owned,Without paid helpers or relatives only,Others,Married,2-3,Yes,0,Yes
11501,Female,Filipino,Region IV‑A – CALABARZON,Laguna,Los Baños,Business Owner,No other source of income,Yes,No,0,51500.0,11000,40500.0,More than 2 years,Owned,More than 3 years,Rent-Free,Without paid helpers or relatives only,Others,Single,2-3,Yes,0,No
11502,Female,Filipino,Region VII – Central Visayas,Cebu,Toledo,Business Owner,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0,51000.0,22000,29000.0,More than 2 years,Owned,2-3 years,Owned,Without paid helpers or relatives only,Food and Hospitality,Married,2-3,Yes,0,Yes
11590,Female,Filipino,Region I – Ilocos Region,Pangasinan,Alaminos,Business Owner,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0,180000.0,12000,168000.0,More than 2 years,Free,2-3 years,Rented,Without paid helpers or relatives only,Others,Single,2-3,Yes,0,Yes
11604,Female,Filipino,Region IV‑A – CALABARZON,Rizal,Taytay,Business Owner,No other source of income,Yes,No,0,110000.0,18000,92000.0,More than 2 years,Owned,More than 3 years,Owned,Without paid helpers or relatives only,Others,Single,2-3,Yes,0,No
11617,Male,Filipino,Region XI – Davao Region,Davao del Sur,Davao City,Business Owner,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0,145000.0,32000,113000.0,More than 2 years,Owned,2-3 years,Owned,Without paid helpers or relatives only,Agriculture,Married,2-3,Yes,0,No
11750,Female,Filipino,Region IV‑A – CALABARZON,Quezon,Calauag,Business Owner,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0,130000.0,22000,108000.0,More than 2 years,Owned,More than 3 years,Owned,With paid helpers or employees,Others,Single,more than 3,Yes,0,No
11789,Female,Filipino,NCR – National Capital Region,Metro Manila,Marikina,Business Owner,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0,80000.0,25500,54500.0,More than 2 years,Owned,2-3 years,Rented,Without paid helpers or relatives only,Others,Married,2-3,Yes,0,No
12013,Male,Filipino,Region VI – Western Visayas,Negros Occidental,Bacolod City,Business Owner,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0,360000.0,25450,334550.0,More than 2 years,Owned,More than 3 years,Owned,Without paid helpers or relatives only,Others,Married,2-3,Yes,200,No
12080,Male,Filipino,Region IV‑A – CALABARZON,Cavite,General Mariano Alvarez,Business Owner,No other source of income,Yes,No,0,150000.0,4000,146000.0,More than 2 years,Owned,More than 3 years,Owned,Without paid helpers or relatives only,Others,Single,0-1,No,0,Yes
12277,Male,Filipino,NCR – National Capital Region,Metro Manila,Pasig,Business Owner,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0,95000.0,8000,87000.0,More than 2 years,Owned,2-3 years,Owned,Without paid helpers or relatives only,Others,Married,2-3,Yes,0,No
12410,Male,Filipino,Region XIII – Caraga,Agusan del Norte,Butuan City,Business Owner,No other source of income,Yes,No,0,65000.0,7500,57500.0,More than 2 years,Owned,6-23 months,Owned,Without paid helpers or relatives only,Others,Single,0-1,No,0,Yes
12422,Female,Filipino,NCR – National Capital Region,Metro Manila,Pasig,Business Owner,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0,65000.0,14000,51000.0,More than 2 years,Free,More than 3 years,Owned,With paid helpers or employees,Others,Single,2-3,Yes,0,No
12426,Female,Filipino,Region XI – Davao Region,Davao Oriental,Boston,Business Owner,No other source of income,Yes,No,0,14000.0,8200,5800.0,More than 2 years,Owned,More than 3 years,Owned,Without paid helpers or relatives only,Others,Single,0-1,No,0,No
12887,Female,Filipino,NCR – National Capital Region,Metro Manila,Quezon City,Business Owner,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0,280000.0,56000,224000.0,More than 2 years,Owned,More than 3 years,Rented,With paid helpers or employees,Food and Hospitality,Married,2-3,No,0,No
12895,Male,Filipino,Region VI – Western Visayas,Negros Occidental,Silay,Business Owner,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0,112000.0,25500,86500.0,More than 2 years,Owned,More than 3 years,Owned,Without paid helpers or relatives only,Others,Married,more than 3,Yes,0,No
12948,Female,Filipino,Region VI – Western Visayas,Negros Occidental,Silay,Business Owner,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0,511000.0,19500,491500.0,More than 2 years,Owned,More than 3 years,Owned,With paid helpers or employees,Others,Single,2-3,Yes,0,No
12951,Male,Filipino,Region XI – Davao Region,Davao del Norte,Carmen,Business Owner,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0,34900.0,12100,22800.0,More than 2 years,Owned,2-3 years,Rented,Without paid helpers or relatives only,Others,Married,2-3,Yes,1500,Yes
13102,Female,Filipino,Region XI – Davao Region,Davao del Sur,Davao City,Business Owner,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0,240000.0,48000,192000.0,1-2 years,Others,More than 3 years,Owned,With paid helpers or employees,Construction,Single,2-3,Yes,0,Yes
13531,Male,Filipino,Region VI – Western Visayas,Negros Occidental,Silay,Business Owner,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0,120000.0,6800,113200.0,More than 2 years,Owned,More than 3 years,Owned,Without paid helpers or relatives only,Food and Hospitality,Married,0-1,No,0,No
13729,Female,Filipino,Region IV‑A – CALABARZON,Batangas,Santo Tomas,Business Owner,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0,120050.0,17400,102650.0,More than 2 years,Owned,6-23 months,Owned,Without paid helpers or relatives only,Others,Married,2-3,Yes,0,Yes
15016,Female,Filipino,NCR – National Capital Region,Metro Manila,Manila,Business Owner,No other source of income,Yes,No,0,188000.0,2000,186000.0,More than 2 years,Owned,More than 3 years,Owned,Without paid helpers or relatives only,Others,Single,0-1,No,0,Yes
15181,Female,Filipino,Region VI – Western Visayas,Negros Occidental,Silay,Business Owner,No other source of income,Yes,No,0,950000.0,32100,917900.0,More than 2 years,Owned,More than 3 years,Rented,With paid helpers or employees,Others,Single,2-3,Yes,0,No
15214,Male,Filipino,NCR – National Capital Region,Metro Manila,Makati,Business Owner,No other source of income,Yes,No,0,615000.0,4200,610800.0,More than 2 years,Owned,2-3 years,Owned,With paid helpers or employees,Others,Single,0-1,No,0,No
15379,Female,Filipino,NCR – National Capital Region,Metro Manila,Manila,Business Owner,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0,495000.0,47500,447500.0,More than 2 years,Owned,More than 3 years,Owned,With paid helpers or employees,Others,Married,2-3,Yes,0,Yes
16175,Male,Filipino,Region X – Northern Mindanao,Misamis Oriental,Cagayan De Oro City,Business Owner,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0,51000.0,18000,33000.0,More than 2 years,Owned,6-23 months,Owned,Without paid helpers or relatives only,Others,Married,2-3,Yes,0,Yes
16176,Female,Filipino,Region IV‑A – CALABARZON,Cavite,Tanza,Business Owner,No other source of income,Yes,No,0,130000.0,44500,85500.0,1-2 years,Others,More than 3 years,Owned,With paid helpers or employees,Construction,Single,2-3,Yes,0,Yes
16178,Female,Filipino,Region III – Central Luzon,Tarlac,Gerona,Business Owner,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0,68000.0,7000,61000.0,More than 2 years,Owned,6-23 months,Owned,Without paid helpers or relatives only,Others,Single,0-1,No,0,No
16766,Female,Filipino,Region IV‑A – CALABARZON,Laguna,Cabuyao,Business Owner,No other source of income,Yes,No,0,80000.0,12500,67500.0,More than 2 years,Owned,2-3 years,Mortgaged,Without paid helpers or relatives only,Others,Single,2-3,Yes,0,Yes
16834,Female,Filipino,NCR – National Capital Region,Metro Manila,San Juan,Business Owner,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0,325000.0,55500,269500.0,More than 2 years,Rented,Less than 6 months,Rented,Without paid helpers or relatives only,Food and Hospitality,Married,0-1,No,0,Yes
16864,Female,Filipino,NCR – National Capital Region,Metro Manila,Muntinlupa,Business Owner,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0,73500.0,17500,56000.0,More than 2 years,Rented,More than 3 years,Rented,Without paid helpers or relatives only,Others,Single,more than 3,Yes,7000,Yes
17129,Male,Filipino,Region IV‑A – CALABARZON,Rizal,Angono,Business Owner,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0,70000.0,14500,55500.0,1-2 years,Rented,More than 3 years,Rented,Without paid helpers or relatives only,Food and Hospitality,Single,2-3,Yes,0,No
17492,Female,Filipino,Region VI – Western Visayas,Negros Occidental,Silay,Business Owner,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0,165000.0,50000,115000.0,More than 2 years,Owned,More than 3 years,Owned,Without paid helpers or relatives only,Others,Married,2-3,Yes,1000,Yes
17854,Female,Filipino,NCR – National Capital Region,Metro Manila,Caloocan,Business Owner,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0,360030.0,18000,342030.0,More than 2 years,Owned,6-23 months,Owned,Without paid helpers or relatives only,Others,Married,2-3,Yes,5000,Yes
18019,Female,Filipino,Region VI – Western Visayas,Negros Occidental,Silay,Business Owner,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0,292000.0,22200,269800.0,More than 2 years,Owned,6-23 months,Rented,With paid helpers or employees,Food and Hospitality,Married,0-1,Yes,0,Yes
18250,Male,Filipino,NCR – National Capital Region,Metro Manila,Quezon City,Business Owner,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0,266000.0,13000,253000.0,More than 2 years,Free,Less than 6 months,Rented,With paid helpers or employees,Food and Hospitality,Married,0-1,No,0,Yes
18349,Male,Filipino,Region IV‑A – CALABARZON,Rizal,Taytay,Business Owner,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0,200000.0,365108,-165108.0,6-12 months,Owned,More than 3 years,Rented,With paid helpers or employees,Others,Married,2-3,No,45000,No
18351,Female,Filipino,NCR – National Capital Region,Metro Manila,Caloocan,Business Owner,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0,450000.0,21000,429000.0,More than 2 years,Owned,6-23 months,Owned,Without paid helpers or relatives only,Others,Married,2-3,Yes,0,Yes
18580,Male,Filipino,NCR – National Capital Region,Metro Manila,Pasig,Business Owner,No other source of income,Yes,No,0,120000.0,15000,105000.0,More than 2 years,Owned,More than 3 years,Owned,Without paid helpers or relatives only,Others,Single,0-1,No,3000,Yes
18679,Female,Filipino,Region VI – Western Visayas,Iloilo,Pototan,Business Owner,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0,156000.0,68500,87500.0,1-2 years,Owned,More than 3 years,Owned,Without paid helpers or relatives only,Business and Information ,Married,2-3,Yes,2000,Yes
18813,Female,Filipino,Region VI – Western Visayas,Negros Occidental,Silay,Business Owner,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0,35000.0,11000,24000.0,More than 2 years,Rented,2-3 years,Owned,Without paid helpers or relatives only,Food and Hospitality,Single,more than 3,Yes,0,No
18910,Male,Filipino,NCR – National Capital Region,Metro Manila,Quezon City,Business Owner,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0,155000.0,28000,127000.0,More than 2 years,Owned,2-3 years,Owned,With paid helpers or employees,Business and Information ,Single,0-1,No,0,Yes
18950,Female,Filipino,Region II – Cagayan Valley,Isabela,Santiago,Business Owner,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0,60000.0,14000,46000.0,More than 2 years,Owned,2-3 years,Owned,Without paid helpers or relatives only,Food and Hospitality,Married,2-3,Yes,0,No
18976,Male,Filipino,Region VII – Central Visayas,Cebu,Minglanilla,Business Owner,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0,240000.0,20000,220000.0,More than 2 years,Owned,More than 3 years,Owned,Without paid helpers or relatives only,Others,Married,2-3,Yes,0,Yes
19109,Female,Filipino,Region IV‑A – CALABARZON,Batangas,Tanauan,Business Owner,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0,110000.0,12900,97100.0,More than 2 years,Owned,More than 3 years,Owned,Without paid helpers or relatives only,Others,Married,2-3,Yes,2000,Yes
19175,Female,Filipino,NCR – National Capital Region,Metro Manila,Caloocan,Business Owner,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0,170000.0,22000,148000.0,More than 2 years,Rented,More than 3 years,Rent-Free,With paid helpers or employees,Others,Married,2-3,Yes,0,Yes
19207,Female,Filipino,Region VI – Western Visayas,Negros Occidental,Silay,Business Owner,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0,40000.0,15000,25000.0,More than 2 years,Rented,2-3 years,Rented,Without paid helpers or relatives only,Food and Hospitality,Single,more than 3,Yes,0,No
19342,Female,Filipino,NCR – National Capital Region,Metro Manila,Caloocan,Business Owner,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0,80000.0,21500,58500.0,More than 2 years,Owned,More than 3 years,Owned,Without paid helpers or relatives only,Others,Married,more than 3,Yes,0,No
19407,Female,Filipino,Region VI – Western Visayas,Negros Occidental,Silay,Business Owner,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0,50000.0,15000,35000.0,More than 2 years,Rented,2-3 years,Rented,Without paid helpers or relatives only,Food and Hospitality,Single,more than 3,Yes,0,No
19504,Female,Filipino,Region III – Central Luzon,Bulacan,San Jose del Monte,Business Owner,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0,190000.0,29000,161000.0,More than 2 years,Owned,More than 3 years,Owned,With paid helpers or employees,Others,Married,2-3,Yes,250000,Yes
19538,Female,Filipino,Region II – Cagayan Valley,Cagayan,Abulug,Business Owner,No other source of income,Yes,No,0,72000.0,2000,70000.0,More than 2 years,Owned,Less than 6 months,Owned,Without paid helpers or relatives only,Others,Single,0-1,No,0,No
19669,Female,Filipino,Region VI – Western Visayas,Negros Occidental,Silay,Business Owner,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0,20000.0,6000,14000.0,More than 2 years,Owned,More than 3 years,Owned,Without paid helpers or relatives only,Food and Hospitality,Single,0-1,No,0,Yes
19702,Female,Filipino,Region VI – Western Visayas,Negros Occidental,Silay,Business Owner,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0,80000.0,35000,45000.0,More than 2 years,Owned,More than 3 years,Owned,Without paid helpers or relatives only,Others,Married,2-3,Yes,0,Yes
19901,Female,Filipino,Region VI – Western Visayas,Negros Occidental,Silay,Business Owner,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0,70000.0,15000,55000.0,More than 2 years,Owned,More than 3 years,Owned,With paid helpers or employees,Food and Hospitality,Married,0-1,No,1000,No
19966,Female,Filipino,Region VI – Western Visayas,Negros Occidental,Silay,Business Owner,No other source of income,Yes,No,0,120000.0,19500,100500.0,More than 2 years,Owned,2-3 years,Rented,Without paid helpers or relatives only,Others,Married,2-3,Yes,0,No
20296,Male,Filipino,Region III – Central Luzon,Bulacan,Meycauayan,Business Owner,No other source of income,Yes,No,0,110000.0,31000,79000.0,1-2 years,Owned,6-23 months,Owned,Without paid helpers or relatives only,Others,Single,0-1,No,0,No
20297,Male,Filipino,Region IV‑A – CALABARZON,Rizal,Rodriguez,Business Owner,No other source of income,Yes,No,0,40000.0,24000,16000.0,6-12 months,Free,6-23 months,Owned,Without paid helpers or relatives only,Others,Separated,2-3,Yes,0,Yes
20461,Female,Filipino,NCR – National Capital Region,Metro Manila,Pasig,Business Owner,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0,360000.0,11000,349000.0,More than 2 years,Owned,More than 3 years,Owned,With paid helpers or employees,Others,Married,2-3,No,0,Yes
20659,Female,Filipino,Region VI – Western Visayas,Capiz,Mambusao,Business Owner,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0,50000155005.0,28500,50000126505.0,More than 2 years,Owned,More than 3 years,Rented,Without paid helpers or relatives only,Construction,Married,2-3,Yes,10000,No
20793,Male,Filipino,Region IV‑A – CALABARZON,Batangas,Santo Tomas,Business Owner,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0,185000.0,13000,172000.0,More than 2 years,Owned,6-23 months,Owned,Without paid helpers or relatives only,Others,Married,2-3,Yes,0,No
20891,Male,Filipino,NCR – National Capital Region,Metro Manila,Pasay,Business Owner,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0,48500.0,6500,42000.0,More than 2 years,Owned,More than 3 years,Owned,Without paid helpers or relatives only,Others,Married,2-3,Yes,0,No
20957,Male,Filipino,Region VI – Western Visayas,Negros Occidental,Silay,Business Owner,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0,45000.0,12300,32700.0,More than 2 years,Owned,More than 3 years,Owned,Without paid helpers or relatives only,Others,Married,more than 3,Yes,1600,No
20990,Female,Filipino,Region III – Central Luzon,Bulacan,San Jose del Monte,Business Owner,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0,20000.0,40000,-20000.0,More than 2 years,Owned,More than 3 years,Owned,Without paid helpers or relatives only,Others,Single,2-3,Yes,0,No
21187,Male,Filipino,Region I – Ilocos Region,Pangasinan,Alcala,Business Owner,No other source of income,Yes,No,0,230000.0,3200,226800.0,More than 2 years,Owned,More than 3 years,Owned,Without paid helpers or relatives only,Food and Hospitality,Single,0-1,No,0,No
21188,Female,Filipino,Region IV‑A – CALABARZON,Cavite,Imus,Business Owner,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0,350000.0,141767,208233.0,More than 2 years,Owned,More than 3 years,Rented,With paid helpers or employees,Others,Married,2-3,Yes,11500,Yes
21784,Female,Filipino,Region VI – Western Visayas,Negros Occidental,Silay,Business Owner,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0,200000.0,8000,192000.0,More than 2 years,Owned,More than 3 years,Owned,Without paid helpers or relatives only,Business and Information ,Single,0-1,No,0,No
21815,Female,Filipino,NCR – National Capital Region,Metro Manila,Muntinlupa,Business Owner,No other source of income,Yes,No,0,137000.0,4500,132500.0,More than 2 years,Others,More than 3 years,Owned,Without paid helpers or relatives only,Others,Single,0-1,No,0,No
22243,Female,Filipino,Region XI – Davao Region,Davao del Sur,Davao City,Business Owner,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0,1000000.0,22000,978000.0,More than 2 years,Owned,More than 3 years,Owned,With paid helpers or employees,Others,Married,more than 3,No,30000,Yes
22443,Male,Filipino,NCR – National Capital Region,Metro Manila,Caloocan,Business Owner,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0,115000.0,23000,92000.0,6-12 months,Owned,More than 3 years,Owned,Without paid helpers or relatives only,Others,Single,2-3,Yes,0,Yes
22584,Female,Filipino,Region XI – Davao Region,Davao del Sur,Davao City,Business Owner,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0,1000000.0,22000,978000.0,More than 2 years,Owned,More than 3 years,Owned,With paid helpers or employees,Others,Married,more than 3,No,30000,Yes
22607,Female,Filipino,NCR – National Capital Region,Metro Manila,Navotas,Business Owner,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0,180000.0,33500,146500.0,More than 2 years,Free,More than 3 years,Rented,With paid helpers or employees,Others,Married,2-3,Yes,0,Yes
22615,Male,Filipino,Region XI – Davao Region,Davao del Norte,Tagum,Business Owner,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0,28000.0,14300,13700.0,More than 2 years,Owned,6-23 months,Owned,Without paid helpers or relatives only,Others,Married,2-3,Yes,1000,No
22623,Female,Filipino,Region VI – Western Visayas,Negros Occidental,Bacolod City,Business Owner,No other source of income,Yes,No,0,100000.0,18500,81500.0,6-12 months,Owned,More than 3 years,Owned,With paid helpers or employees,Food and Hospitality,Married,2-3,Yes,0,Yes
22625,Female,Filipino,Region XI – Davao Region,Davao del Norte,Davao City,Business Owner,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0,30000.0,15000,15000.0,More than 2 years,Owned,2-3 years,Mortgaged,Without paid helpers or relatives only,Others,Single,0-1,No,0,No
22673,Female,Filipino,Region XI – Davao Region,Davao del Sur,Davao City,Business Owner,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0,300000.0,30200,269800.0,More than 2 years,Owned,More than 3 years,Owned,With paid helpers or employees,Others,Married,more than 3,Yes,22000,Yes
22774,Female,Filipino,Region VI – Western Visayas,Negros Occidental,Silay,Business Owner,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0,212200.0,8500,203700.0,More than 2 years,Free,More than 3 years,Rent-Free,With paid helpers or employees,Others,Widowed,2-3,No,0,Yes
