gender,citizenship,employment_and_or_business_information,additional_household_member_source_of_income,do_you_have_a_co_borrower,my_spouse_is_my_co_borrower,business_gross_sales,salary,business_net_income,commission,other_income,incentive_commission,other_gig_work_salary,other_income_pension_remittance,total_cash_inflow,miscellaneous,clothing,rental_expenses,salaries_helper,transportation,utilities,household_premium,loan_payments,fuel_lpg,medical_expenses,food_expenses,other_expenses,education_expenses,total_cash_outflow,net_income,years_in_residence,home_ownership,agency_years,marital_status,no_of_children,with_children_attending_school,how_many_years_in_the_company,position,outstanding_obligation_other_loans,do_you_have_deposit_or_credit_cards_with_other_bank,credit_score
Male,Filipino,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0.0,45000.0,0.0,0.0,0.0,0.0,0.0,0.0,45000.0,500.0,500.0,6000.0,0.0,0.0,3000.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,11000.0,34000.0,More than 2 years,Rented,1-5 years,Single,0-1,No,2-5 years,Professional/Non-Officer/Skilled,6000.0,Yes,54
Female,Filipino,Regular Employee,No other source of income,Yes,No,0.0,25000.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,10000.0,1000.0,5000.0,0.0,0.0,4800.0,0.0,0.0,0.0,0.0,23000.0,0.0,3000.0,46800.0,-21800.0,Less than 6 months,Rented,1-5 years,Single,2-3,Yes,2-5 years,Professional/Non-Officer/Skilled,2000.0,No,50
Female,Filipino,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0.0,27000.0,26950.0,3000.0,2000.0,0.0,0.0,0.0,58950.0,1000.0,2000.0,0.0,0.0,0.0,2000.0,0.0,0.0,0.0,0.0,8000.0,0.0,15000.0,28000.0,30950.0,More than 2 years,Others,1-5 years,Married,2-3,Yes,1-2 years,Others,0.0,No,54
Female,Filipino,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0.0,20830.0,10000.0,2500.0,12000.0,0.0,0.0,0.0,45330.0,100.0,1000.0,3800.0,0.0,0.0,700.0,0.0,0.0,0.0,0.0,3000.0,0.0,7000.0,15600.0,29730.0,More than 2 years,Owned,1-5 years,Married,2-3,Yes,1-2 years,Professional/Non-Officer/Skilled,0.0,No,63
Female,Filipino,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0.0,12000.0,7000.0,5000.0,2000.0,0.0,0.0,0.0,26000.0,1000.0,500.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,0.0,2000.0,0.0,500.0,4600.0,21400.0,More than 2 years,Owned,1-5 years,Married,0-1,Yes,2-5 years,Professional/Non-Officer/Skilled,0.0,No,64
Male,Filipino,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0.0,47000.0,0.0,0.0,0.0,0.0,0.0,0.0,47000.0,0.0,0.0,0.0,0.0,0.0,2000.0,0.0,0.0,0.0,0.0,4000.0,0.0,1000.0,7000.0,40000.0,More than 2 years,Owned,1-5 years,Married,0-1,Yes,2-5 years,Professional/Non-Officer/Skilled,0.0,No,64
Female,Filipino,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0.0,60000.0,0.0,150000.0,0.0,0.0,0.0,0.0,210000.0,3000.0,1000.0,0.0,0.0,0.0,3000.0,0.0,0.0,0.0,0.0,50000.0,0.0,0.0,57000.0,153000.0,More than 2 years,Owned,1-5 years,Married,0-1,No,2-5 years,Professional/Managerial/Officer,3000.0,No,61
Male,Filipino,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0.0,74000.0,50000.0,20000.0,0.0,0.0,0.0,0.0,144000.0,2000.0,1000.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,16000.0,0.0,4000.0,33000.0,111000.0,More than 2 years,Owned,1-5 years,Married,2-3,Yes,2-5 years,Professional/Managerial/Officer,23000.0,Yes,67
Male,Filipino,Regular Employee,No other source of income,Yes,No,0.0,35000.0,0.0,2000.0,0.0,0.0,0.0,0.0,37000.0,2000.0,500.0,0.0,0.0,0.0,2000.0,0.0,0.0,0.0,0.0,7000.0,0.0,2000.0,13500.0,23500.0,More than 2 years,Owned,1-5 years,Single,0-1,No,2-5 years,Others,4000.0,Yes,59
Female,Filipino,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0.0,180000.0,0.0,0.0,0.0,0.0,0.0,0.0,180000.0,15000.0,5000.0,0.0,0.0,0.0,12000.0,0.0,0.0,0.0,0.0,20000.0,0.0,20000.0,72000.0,108000.0,More than 2 years,Owned,More than 5 years,Married,2-3,Yes,More than 5 years,Professional/Managerial/Officer,15000.0,Yes,65
Female,Filipino,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0.0,42000.0,0.0,0.0,0.0,0.0,0.0,0.0,42000.0,0.0,0.0,0.0,0.0,0.0,8000.0,0.0,0.0,0.0,0.0,20000.0,0.0,3500.0,31500.0,10500.0,More than 2 years,Owned,Less than a year,Single,2-3,No,Less than 1 year,Professional/Non-Officer/Skilled,0.0,No,55
Male,Filipino,Regular Employee,No other source of income,Yes,No,0.0,30000.0,9999999.0,9999999.0,999999.0,0.0,0.0,0.0,21029997.0,0.0,1000.0,4500.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,16500.0,21013497.0,More than 2 years,Rented,1-5 years,Single,0-1,No,2-5 years,Others,0.0,No,52
Male,Filipino,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0.0,72500.0,0.0,0.0,0.0,0.0,0.0,0.0,72500.0,0.0,3000.0,0.0,0.0,0.0,4000.0,0.0,0.0,0.0,0.0,5000.0,0.0,0.0,12000.0,60500.0,More than 2 years,Owned,1-5 years,Single,0-1,No,1-2 years,Professional/Managerial/Officer,0.0,Yes,61
Female,Filipino,Regular Employee,No other source of income,Yes,No,0.0,21000.0,0.0,2000.0,20000.0,0.0,0.0,0.0,43000.0,500.0,500.0,6000.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,3000.0,0.0,1000.0,16000.0,27000.0,More than 2 years,Rented,1-5 years,Single,2-3,Yes,1-2 years,Others,0.0,No,53
Male,Filipino,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0.0,39000.0,0.0,0.0,5000.0,0.0,0.0,0.0,44000.0,0.0,1001.0,0.0,0.0,0.0,1001.0,0.0,0.0,0.0,0.0,3000.0,0.0,0.0,5002.0,38998.0,More than 2 years,Free,Less than a year,Single,0-1,No,Less than 1 year,Professional/Managerial/Officer,0.0,No,56
Female,Filipino,Regular Employee,No other source of income,Yes,No,0.0,26000.0,0.0,3500.0,0.0,0.0,0.0,0.0,29500.0,3000.0,0.0,0.0,0.0,0.0,4000.0,0.0,0.0,0.0,0.0,3000.0,0.0,0.0,10000.0,19500.0,More than 2 years,Owned,More than 5 years,Single,0-1,Yes,More than 5 years,Professional/Managerial/Officer,0.0,No,64
Female,Filipino,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0.0,27750.0,0.0,0.0,0.0,0.0,0.0,0.0,27750.0,0.0,1000.0,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,5000.0,0.0,2000.0,13000.0,14750.0,More than 2 years,Others,1-5 years,Single,0-1,Yes,2-5 years,Professional/Non-Officer/Skilled,5000.0,No,52
Female,Filipino,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0.0,23000.0,0.0,3000.0,10000.0,0.0,0.0,0.0,36000.0,3000.0,0.0,2250.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,2000.0,0.0,0.0,8250.0,27750.0,More than 2 years,Owned,Less than a year,Single,0-1,No,Less than 1 year,Professional/Non-Officer/Skilled,1000.0,Yes,58
Female,Filipino,Regular Employee,No other source of income,Yes,No,0.0,25600.0,0.0,3500.0,0.0,0.0,0.0,0.0,29100.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,0.0,0.0,0.0,3000.0,0.0,0.0,6000.0,23100.0,More than 2 years,Owned,More than 5 years,Single,0-1,Yes,More than 5 years,Professional/Managerial/Officer,0.0,Yes,66
Male,Filipino,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0.0,25000.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,8000.0,2000.0,0.0,0.0,0.0,3000.0,0.0,0.0,0.0,0.0,6000.0,0.0,6000.0,25000.0,0.0,More than 2 years,Others,1-5 years,Single,0-1,Yes,2-5 years,Professional/Non-Officer/Skilled,0.0,No,52
Female,Filipino,Regular Employee,No other source of income,Yes,No,0.0,55000.0,0.0,0.0,0.0,0.0,0.0,0.0,55000.0,1000.0,1000.0,0.0,0.0,0.0,8000.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,20000.0,35000.0,More than 2 years,Owned,Less than a year,Single,0-1,No,Less than 1 year,Professional/Managerial/Officer,200000.0,Yes,62
Female,Filipino,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0.0,26250.0,0.0,0.0,0.0,0.0,0.0,0.0,26250.0,0.0,150.0,5000.0,0.0,0.0,1899.0,0.0,0.0,0.0,0.0,2000.0,0.0,2000.0,11049.0,15201.0,More than 2 years,Rented,1-5 years,Single,0-1,Yes,1-2 years,Professional/Non-Officer/Skilled,0.0,No,54
Male,Filipino,Regular Employee,No other source of income,Yes,No,0.0,30000.0,0.0,0.0,0.0,0.0,0.0,0.0,30000.0,0.0,0.0,4500.0,0.0,0.0,550.0,0.0,0.0,0.0,0.0,9000.0,0.0,0.0,14050.0,15950.0,More than 2 years,Rented,1-5 years,Single,0-1,No,1-2 years,Others,3600.0,No,52
Female,Filipino,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0.0,18000.0,18000.0,18000.0,0.0,0.0,0.0,0.0,54000.0,2000.0,0.0,6000.0,0.0,0.0,2500.0,0.0,0.0,0.0,0.0,5000.0,0.0,5000.0,20500.0,33500.0,More than 2 years,Rented,More than 5 years,Single,0-1,No,More than 5 years,Professional/Managerial/Officer,0.0,No,55
Female,Filipino,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0.0,29180.0,3000.0,5000.0,5000.0,0.0,0.0,0.0,42180.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,0.0,0.0,3000.0,39180.0,More than 2 years,Owned,1-5 years,Married,0-1,No,2-5 years,Professional/Managerial/Officer,0.0,No,61
Male,Filipino,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0.0,35000.0,0.0,0.0,0.0,0.0,0.0,0.0,35000.0,0.0,0.0,1500.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,9000.0,0.0,1100.0,12600.0,22400.0,More than 2 years,Free,Less than a year,Single,more than 3,Yes,Less than 1 year,Others,0.0,No,52
Male,Filipino,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0.0,30000.0,0.0,5000.0,0.0,0.0,0.0,0.0,35000.0,1300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8000.0,0.0,500.0,10100.0,24900.0,More than 2 years,Owned,1-5 years,Married,0-1,Yes,1-2 years,Others,6000.0,No,62
Female,Filipino,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0.0,25000.0,0.0,25000.0,15000.0,0.0,0.0,0.0,65000.0,2500.0,3000.0,0.0,0.0,0.0,3000.0,0.0,0.0,0.0,0.0,4000.0,0.0,3000.0,15500.0,49500.0,More than 2 years,Owned,1-5 years,Single,2-3,Yes,1-2 years,Others,0.0,No,56
Female,Filipino,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0.0,58181.0,5000.0,0.0,0.0,0.0,0.0,0.0,63181.0,2000.0,1000.0,0.0,0.0,0.0,8000.0,0.0,0.0,0.0,0.0,10000.0,0.0,5000.0,26000.0,37181.0,More than 2 years,Owned,More than 5 years,Married,2-3,Yes,More than 5 years,Professional/Managerial/Officer,22000.0,Yes,68
Male,Filipino,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0.0,45000.0,0.0,0.0,0.0,0.0,0.0,0.0,45000.0,0.0,0.0,8500.0,0.0,0.0,2000.0,0.0,0.0,0.0,0.0,1500.0,0.0,0.0,12000.0,33000.0,More than 2 years,Rented,Less than a year,Single,0-1,No,Less than 1 year,Professional/Managerial/Officer,0.0,Yes,55
Male,Filipino,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0.0,28000.0,0.0,9000.0,0.0,0.0,0.0,0.0,37000.0,0.0,0.0,0.0,0.0,0.0,2500.0,0.0,0.0,0.0,0.0,10000.0,0.0,5000.0,17500.0,19500.0,More than 2 years,Owned,1-5 years,Single,0-1,Yes,2-5 years,Professional/Non-Officer/Skilled,0.0,No,59
Male,Filipino,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0.0,25000.0,0.0,9000.0,0.0,0.0,0.0,0.0,34000.0,500.0,0.0,0.0,0.0,0.0,1600.0,0.0,0.0,0.0,0.0,6000.0,0.0,0.0,8100.0,25900.0,More than 2 years,Owned,More than 5 years,Single,0-1,No,More than 5 years,Professional/Non-Officer/Skilled,0.0,No,58
Male,Filipino,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0.0,30000.0,0.0,0.0,0.0,0.0,0.0,0.0,30000.0,1000.0,1000.0,0.0,0.0,0.0,800.0,0.0,0.0,0.0,0.0,2000.0,0.0,1500.0,6300.0,23700.0,More than 2 years,Owned,1-5 years,Single,0-1,Yes,2-5 years,Others,0.0,No,57
Male,Filipino,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,0.0,3000.0,-2970.0,More than 2 years,Owned,Less than a year,Single,0-1,No,Less than 1 year,Professional/Non-Officer/Skilled,3700.0,No,56
Male,Filipino,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0.0,16000.0,0.0,5000.0,20000.0,0.0,0.0,0.0,41000.0,2000.0,500.0,0.0,0.0,0.0,3000.0,0.0,0.0,0.0,0.0,9000.0,0.0,0.0,14500.0,26500.0,More than 2 years,Owned,1-5 years,Married,more than 3,No,2-5 years,Professional/Non-Officer/Skilled,0.0,Yes,59
Female,Filipino,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0.0,29500.0,10000.0,0.0,0.0,0.0,0.0,0.0,39500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,0.0,3000.0,36500.0,More than 2 years,Free,1-5 years,Single,0-1,No,1-2 years,Professional/Non-Officer/Skilled,0.0,Yes,57
Male,Filipino,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0.0,25000.0,25000.0,0.0,1800.0,0.0,0.0,0.0,51800.0,500.0,600.0,3500.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,1500.0,0.0,1500.0,7800.0,44000.0,More than 2 years,Rented,1-5 years,Single,2-3,Yes,2-5 years,Others,0.0,Yes,53
Male,Filipino,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0.0,20000.0,3000.0,5000.0,2000.0,0.0,0.0,0.0,30000.0,1000.0,3000.0,1000.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,5000.0,0.0,3000.0,14000.0,16000.0,More than 2 years,Owned,1-5 years,Single,2-3,Yes,2-5 years,Others,1000.0,No,56
Male,Filipino,Regular Employee,No other source of income,Yes,No,0.0,18000.0,3000.0,0.0,3000.0,0.0,0.0,0.0,24000.0,0.0,2000.0,0.0,0.0,0.0,1500.0,0.0,0.0,0.0,0.0,5000.0,0.0,500.0,9000.0,15000.0,More than 2 years,Owned,1-5 years,Single,2-3,Yes,2-5 years,Others,0.0,No,58
Male,Filipino,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0.0,20000.0,20000.0,3000.0,0.0,0.0,0.0,0.0,43000.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,0.0,1000.0,3000.0,40000.0,More than 2 years,Owned,1-5 years,Married,2-3,Yes,2-5 years,Professional/Non-Officer/Skilled,0.0,No,63
Male,Filipino,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0.0,45000.0,0.0,0.0,0.0,0.0,0.0,0.0,45000.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,42000.0,More than 2 years,Free,1-5 years,Single,0-1,No,1-2 years,Professional/Managerial/Officer,15200.0,Yes,59
Male,Filipino,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0.0,24000.0,5000.0,0.0,0.0,0.0,0.0,0.0,29000.0,500.0,500.0,0.0,0.0,0.0,1200.0,0.0,0.0,0.0,0.0,6000.0,0.0,1000.0,9200.0,19800.0,More than 2 years,Owned,1-5 years,Married,2-3,Yes,1-2 years,Professional/Non-Officer/Skilled,0.0,Yes,65
Female,Filipino,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0.0,27750.0,0.0,0.0,0.0,0.0,0.0,0.0,27750.0,2000.0,1000.0,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,10000.0,17750.0,More than 2 years,Others,1-5 years,Single,0-1,Yes,2-5 years,Professional/Non-Officer/Skilled,5000.0,No,52
Male,Filipino,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0.0,30000.0,0.0,0.0,0.0,0.0,0.0,0.0,30000.0,0.0,0.0,4500.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,9000.0,0.0,0.0,14000.0,16000.0,More than 2 years,Rented,1-5 years,Single,0-1,No,1-2 years,Others,3600.0,No,50
Male,Filipino,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0.0,50000.0,0.0,0.0,10000.0,0.0,0.0,0.0,60000.0,5000.0,0.0,0.0,0.0,0.0,6000.0,0.0,0.0,0.0,0.0,6000.0,0.0,6000.0,23000.0,37000.0,More than 2 years,Owned,More than 5 years,Married,2-3,Yes,More than 5 years,Others,0.0,Yes,64
Female,Filipino,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0.0,26712.0,0.0,0.0,0.0,0.0,0.0,0.0,26712.0,1000.0,700.0,0.0,0.0,0.0,2750.0,0.0,0.0,0.0,0.0,900.0,0.0,1000.0,6350.0,20362.0,More than 2 years,Free,1-5 years,Married,more than 3,Yes,2-5 years,Others,0.0,No,58
Male,Filipino,Regular Employee,No other source of income,Yes,No,0.0,30000.0,0.0,0.0,0.0,0.0,0.0,0.0,30000.0,1000.0,0.0,0.0,0.0,0.0,3050.0,0.0,0.0,0.0,0.0,12000.0,0.0,750.0,16800.0,13200.0,More than 2 years,Free,1-5 years,Single,2-3,Yes,2-5 years,Professional/Non-Officer/Skilled,0.0,No,58
Male,Filipino,OFW/Seafarers,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0.0,140000.0,15000.0,0.0,100000.0,0.0,0.0,0.0,255000.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,0.0,0.0,0.0,15000.0,0.0,15000.0,33000.0,222000.0,More than 2 years,Owned,More than 5 years,Married,2-3,No,More than 5 years,Others,0.0,Yes,61
Female,Filipino,Regular Employee,No other source of income,Yes,No,0.0,20000.0,20000.0,2000.0,3000.0,0.0,0.0,0.0,45000.0,700.0,2000.0,0.0,0.0,0.0,2000.0,0.0,0.0,0.0,0.0,2000.0,0.0,500.0,7200.0,37800.0,More than 2 years,Owned,1-5 years,Single,0-1,Yes,1-2 years,Professional/Non-Officer/Skilled,0.0,No,61
Female,Filipino,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0.0,12000.0,0.0,0.0,0.0,0.0,0.0,0.0,12000.0,2000.0,500.0,0.0,0.0,0.0,2000.0,0.0,0.0,0.0,0.0,8000.0,0.0,0.0,12500.0,-500.0,More than 2 years,Free,Less than a year,Single,0-1,No,Less than 1 year,Professional/Non-Officer/Skilled,0.0,Yes,56
Male,Filipino,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0.0,25000.0,15000.0,3000.0,3000.0,0.0,0.0,0.0,46000.0,1000.0,1000.0,0.0,0.0,0.0,3000.0,0.0,0.0,0.0,0.0,10010.0,0.0,3000.0,18010.0,27990.0,More than 2 years,Free,1-5 years,Married,2-3,Yes,2-5 years,Professional/Managerial/Officer,0.0,No,63
Male,Filipino,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0.0,30000.0,20000.0,4000.0,0.0,0.0,0.0,0.0,54000.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,11000.0,43000.0,More than 2 years,Owned,Less than a year,Married,0-1,No,Less than 1 year,Others,0.0,No,56
Male,Filipino,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0.0,25000.0,0.0,2000.0,0.0,0.0,0.0,0.0,27000.0,1000.0,1000.0,0.0,0.0,0.0,2000.0,0.0,0.0,0.0,0.0,2000.0,0.0,3000.0,9000.0,18000.0,More than 2 years,Rented,1-5 years,Single,2-3,Yes,1-2 years,Professional/Managerial/Officer,0.0,No,55
Female,Filipino,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0.0,42000.0,0.0,0.0,0.0,0.0,0.0,0.0,42000.0,2000.0,0.0,4400.0,0.0,0.0,4500.0,0.0,0.0,0.0,0.0,8000.0,0.0,3500.0,22400.0,19600.0,More than 2 years,Owned,Less than a year,Single,2-3,No,Less than 1 year,Professional/Non-Officer/Skilled,0.0,No,55
Female,Filipino,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0.0,70000.0,0.0,0.0,0.0,0.0,0.0,0.0,70000.0,20000.0,2000.0,0.0,0.0,0.0,2000.0,0.0,0.0,0.0,0.0,6000.0,0.0,8000.0,38000.0,32000.0,More than 2 years,Others,1-5 years,Married,2-3,Yes,2-5 years,Others,0.0,Yes,53
Male,Filipino,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,0.0,0.0,0.0,10000.0,0.0,500.0,13500.0,-13500.0,More than 2 years,Owned,More than 5 years,Married,more than 3,Yes,More than 5 years,Others,0.0,No,61
Female,Filipino,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0.0,70000.0,0.0,0.0,70000.0,0.0,0.0,0.0,140000.0,20000.0,1500.0,0.0,0.0,0.0,2000.0,0.0,0.0,0.0,0.0,6000.0,0.0,8000.0,37500.0,102500.0,More than 2 years,Others,1-5 years,Married,2-3,Yes,2-5 years,Professional/Non-Officer/Skilled,0.0,Yes,55
Female,Filipino,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0.0,21000.0,0.0,4000.0,0.0,0.0,0.0,0.0,25000.0,1500.0,1500.0,0.0,0.0,0.0,4500.0,0.0,0.0,0.0,0.0,4000.0,0.0,3500.0,15000.0,10000.0,More than 2 years,Owned,1-5 years,Single,2-3,Yes,2-5 years,Professional/Non-Officer/Skilled,10000.0,No,58
Female,Filipino,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0.0,35000.0,0.0,0.0,0.0,0.0,0.0,0.0,35000.0,0.0,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,0.0,5000.0,30000.0,More than 2 years,Free,More than 5 years,Single,0-1,Yes,More than 5 years,Professional/Managerial/Officer,0.0,No,60
Male,Filipino,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0.0,28000.0,24000.0,0.0,12000.0,0.0,0.0,0.0,64000.0,1000.0,1000.0,500.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,5000.0,0.0,5000.0,13000.0,51000.0,More than 2 years,Free,More than 5 years,Separated,2-3,Yes,More than 5 years,Professional/Managerial/Officer,140000.0,No,59
Male,Filipino,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0.0,28000.0,24000.0,0.0,12000.0,0.0,0.0,0.0,64000.0,1000.0,1000.0,500.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,5000.0,0.0,5000.0,13000.0,51000.0,More than 2 years,Free,More than 5 years,Separated,2-3,Yes,More than 5 years,Professional/Managerial/Officer,140000.0,No,59
Male,Filipino,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0.0,28000.0,22000.0,0.0,15000.0,0.0,0.0,0.0,65000.0,2500.0,2000.0,500.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,5000.0,0.0,5000.0,15500.0,49500.0,More than 2 years,Owned,More than 5 years,Separated,2-3,Yes,More than 5 years,Professional/Managerial/Officer,150000.0,No,61
Male,Filipino,Regular Employee,No other source of income,Yes,No,0.0,20000.0,25000.0,0.0,0.0,0.0,0.0,0.0,45000.0,100.0,100.0,0.0,0.0,0.0,700.0,0.0,0.0,0.0,0.0,2000.0,0.0,700.0,3600.0,41400.0,More than 2 years,Owned,1-5 years,Single,0-1,Yes,1-2 years,Others,0.0,No,59
Male,Filipino,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0.0,20000.0,0.0,0.0,1500.0,0.0,0.0,0.0,21500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,0.0,100.0,1600.0,19900.0,More than 2 years,Owned,1-5 years,Single,2-3,Yes,1-2 years,Others,0.0,No,56
Male,Filipino,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0.0,30000.0,0.0,7500.0,0.0,0.0,0.0,0.0,37500.0,0.0,0.0,0.0,0.0,0.0,1500.0,0.0,0.0,0.0,0.0,4000.0,0.0,2000.0,7500.0,30000.0,More than 2 years,Owned,1-5 years,Married,2-3,Yes,2-5 years,Professional/Non-Officer/Skilled,0.0,No,60
Male,Filipino,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",No,0.0,16000.0,0.0,4500.0,0.0,0.0,0.0,0.0,20500.0,0.0,0.0,0.0,0.0,0.0,900.0,0.0,0.0,0.0,0.0,2500.0,0.0,0.0,3400.0,17100.0,More than 2 years,Owned,1-5 years,Single,0-1,No,1-2 years,Professional/Non-Officer/Skilled,0.0,No,57
Male,Filipino,Regular Employee,No other source of income,"No, please prepare postdated checks for your monthly amortization",Yes,0.0,30000.0,0.0,8000.0,0.0,0.0,0.0,0.0,38000.0,0.0,0.0,0.0,0.0,0.0,2000.0,0.0,0.0,0.0,0.0,7000.0,0.0,3000.0,12000.0,26000.0,More than 2 years,Owned,1-5 years,Married,2-3,Yes,2-5 years,Professional/Non-Officer/Skilled,0.0,No,63
Male,Filipino,Regular Employee,No other source of income,Yes,No,0.0,20000.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,2000.0,3000.0,0.0,0.0,0.0,1500.0,0.0,0.0,0.0,0.0,4000.0,0.0,1000.0,11500.0,8500.0,More than 2 years,Owned,1-5 years,Single,0-1,No,2-5 years,Others,0.0,No,57
